Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Morph,Maj,Min,PA,IDs,Names
BN,05 34 31.90,+22 00 52.0,,,8.4,,2.00E+03,,SNR,6,4,,M 1;NGC 1952;LBN 833,Crab Nebula;Taurus A
GC,21 33 27.20,-00 49 22.0,,,6.6,,1.15E+04,-5.3,F4,16,,,M 2;NGC 7089,
GC,13 42 11.20,+28 22 34.0,,,6.3,,1.02E+04,-147.6,F6,18,,,M 3;NGC 5272,
GC,16 23 35.50,-26 31 29.0,,,5.4,,2.20E+03,70.7,F8,36,,,M 4;NGC 6121,
GC,15 18 33.80,+02 05 00.0,,,5.7,,7.50E+03,53.2,F7,23,,,M 5;NGC 5904,
OC,17 40 20.00,-32 15 30.0,-0.00008,-0.0031,4.2,4.5,4.87E+02,-7,III2p,33,,,M 6;NGC 6405,Butterfly Cluster
OC,17 53 50.00,-34 47 36.0,0.00014,-0.0036,3.3,3.5,3.01E+02,-14.7,II2r,75,,,M 7;NGC 6475,Ptolemy's Cluster
BN,18 03 42.00,-24 22 48.0,,,,5.8,1.25E+03,,EN,45,30,,M 8;NGC 6523;NGC 6533;LBN 25,Lagoon Nebula
GC,17 19 11.80,-18 30 57.0,,,7.8,,7.90E+03,229.1,F5/6,12,,,M 9;NGC 6333,
GC,16 57 08.90,-04 05 56.0,,,6.6,,4.40E+03,75.2,F3,20,,,M 10;NGC 6254,
OC,18 51 05.00,-06 16 12.0,-0.00008,0.0013,5.8,,1.88E+03,35,I2r,11,,,M 11;NGC 6705,Wild Duck Cluster
GC,16 47 14.50,-01 56 50.0,,,6.1,,4.80E+03,-41.4,F8,16,,,M 12;NGC 6218,
GC,16 41 41.50,+36 27 39.0,,,5.8,,7.10E+03,-244.2,F6,20,,,M 13;NGC 6205,Hercules Cluster
GC,17 37 36.10,-03 14 43.0,,,7.6,,9.30E+03,-66.1,F4,11,,,M 14;NGC 6402,
GC,21 29 58.30,+12 10 03.0,,,6.3,,1.04E+04,-107,F3/4,18,,,M 15;NGC 7078,
BN,18 18 45.00,-13 47 54.0,-0.0001,-0.0011,6,,1.80E+03,10,II3mn,8,,,M 16;NGC 6611,Eagle Nebula;Star Queen Nebula
BN,18 20 47.00,-16 10 18.0,0.0001,-0.0017,,6,1.30E+03,-25.3,EN+OCL,20,15,,M 17;NGC 6618;LBN 60,Omega Nebula;Swan Nebula
OC,18 19 58.00,-17 06 06.0,-0.00007,-0.0013,6.9,,1.30E+03,-14,II3pn,7,,,M 18;NGC 6613,
GC,17 02 37.70,-26 16 03.0,,,6.8,,8.80E+03,135,F7,17,,,M 19;NGC 6273,
BN,18 02 23.00,-23 01 48.0,-0.00006,-0.0007,,8.5,8.16E+02,-0.8,EN+OCL,20,20,,M 20;NGC 6514;LBN 27,Trifid Nebula
OC,18 04 13.30,-22 30 00.0,0.00016,-0.003,5.9,,1.21E+03,-13.4,I3m,16,,,M 21;NGC 6531,
