RA,Dec,Region,Edge
348.760,61.524,1,1
350.009,61.735,1,1
351.248,61.894,1,1
352.396,62.033,1,1
353.583,62.135,1,1
355.565,62.473,1,1
356.580,62.658,1,1
357.445,62.858,1,1
358.366,63.106,1,1
359.028,63.325,1,1
359.803,63.618,1,1
0.532,63.896,1,1
1.203,64.153,1,1
1.926,64.397,1,1
2.505,64.560,1,1
3.052,64.670,1,1
3.628,64.724,1,1
4.212,64.724,1,1
4.806,64.646,1,1
5.301,64.543,1,1
5.838,64.393,1,1
6.599,64.247,1,1
7.328,64.117,1,1
8.178,64.053,1,1
8.890,64.048,1,1
9.666,64.067,1,1
10.303,64.102,1,1
10.988,64.144,1,1
11.461,64.167,1,1
11.820,64.190,1,1
12.184,64.176,1,1
12.459,64.117,1,1
12.609,63.988,1,1
12.660,63.859,1,1
12.583,63.721,1,1
12.338,63.605,1,1
12.119,63.528,1,1
11.860,63.448,1,1
11.686,63.373,1,1
11.573,63.217,1,1
11.511,63.095,1,1
11.513,62.916,1,1
11.460,62.730,1,1
11.458,62.526,1,1
11.532,62.308,1,1
11.511,62.113,1,1
11.626,61.919,1,1
11.774,61.779,1,1
11.927,61.683,1,1
12.174,61.625,1,1
12.549,61.619,1,1
12.873,61.628,1,1
13.211,61.693,1,1
13.488,61.749,1,1
13.825,61.806,1,1
14.014,61.878,1,1
14.252,61.964,1,1
14.491,62.065,1,1
14.759,62.121,1,1
15.076,62.162,1,1
15.503,62.224,1,1
15.896,62.302,1,1
16.370,62.376,1,1
16.702,62.431,1,1
17.084,62.135,1,0
17.489,61.044,1,0
17.680,60.045,1,0
17.625,59.250,1,0
15.398,59.089,1,0
11.578,58.813,1,0
8.266,58.417,1,0
5.077,58.004,1,0
2.071,57.526,1,0
358.899,57.021,1,0
356.397,56.682,1,0
352.450,55.952,1,0
351.626,57.322,1,0
350.124,59.353,1,0
348.633,61.172,1,0
2.886,53.135,2,1
3.319,53.101,2,1
3.589,52.987,2,1
3.911,52.744,2,1
4.081,52.449,2,1
4.310,52.119,2,1
4.531,51.849,2,1
4.702,51.669,2,1
5.070,51.543,2,1
5.488,51.500,2,1
5.955,51.526,2,1
6.265,51.630,2,1
6.590,51.861,2,1
6.868,52.263,2,1
7.048,52.559,2,1
7.188,52.806,2,1
7.425,53.068,2,1
7.845,53.225,2,1
8.428,53.359,2,1
8.914,53.478,2,1
9.323,53.619,2,1
9.563,53.852,2,1
9.725,54.200,2,1
9.886,54.435,2,1
10.148,54.653,2,1
10.597,54.825,2,1
11.048,54.960,2,1
11.583,55.137,2,1
12.175,55.382,2,1
12.915,55.628,2,1
13.528,55.739,2,1
14.120,55.858,2,1
14.723,55.986,2,1
15.166,55.999,2,1
15.675,55.928,2,1
16.200,55.818,2,1
16.663,55.722,2,1
17.181,55.595,2,1
17.831,55.422,2,1
18.124,55.906,2,0
17.968,57.349,2,0
17.839,58.474,2,0
17.596,59.429,2,0
14.452,59.256,2,0
11.472,59.020,2,0
8.226,58.671,2,0
5.576,58.284,2,0
2.482,57.830,2,0
358.657,57.159,2,0
359.880,55.865,2,0
0.692,54.965,2,0
2.126,53.477,2,0
16.702,62.431,3,1
17.182,62.530,3,1
17.659,62.644,3,1
18.024,62.793,3,1
18.302,62.963,3,1
18.358,63.106,3,1
18.317,63.272,3,1
18.113,63.406,3,1
17.882,63.498,3,1
17.359,63.563,3,1
16.901,63.618,3,1
16.512,63.725,3,1
16.152,63.875,3,1
15.812,64.063,3,1
15.657,64.222,3,1
15.534,64.387,3,1
15.531,64.618,3,1
15.678,64.845,3,1
15.995,65.026,3,1
16.321,65.143,3,1
16.675,65.209,3,1
17.099,65.246,3,1
17.581,65.254,3,1
18.114,65.254,3,1
18.751,65.229,3,1
19.422,65.175,3,1
20.074,65.127,3,1
20.726,65.080,3,1
21.352,65.017,3,1
22.100,64.943,3,1
22.757,64.873,3,1
23.448,64.822,3,1
24.034,64.787,3,1
24.958,64.736,3,1
25.317,64.396,3,0
25.010,62.772,3,0
24.719,61.237,3,0
24.754,59.817,3,0
24.652,58.114,3,0
21.949,58.353,3,0
19.935,58.728,3,0
17.169,59.293,3,0
16.906,60.328,3,0
16.660,61.361,3,0
16.535,62.184,3,0
17.831,55.422,4,1
18.962,55.257,4,1
19.561,55.147,4,1
20.309,55.050,4,1
20.943,54.932,4,1
21.369,54.725,4,1
21.700,54.468,4,1
22.005,54.193,4,1
22.268,53.889,4,1
22.479,53.514,4,1
22.687,53.155,4,1
22.872,52.822,4,1
23.086,52.575,4,1
23.337,52.303,4,1
23.655,52.010,4,1
24.207,51.692,4,1
24.746,51.438,4,1
25.190,51.332,4,1
25.504,51.349,4,1
25.873,51.427,4,1
26.141,51.520,4,1
26.387,51.612,4,1
26.832,51.675,4,1
27.097,51.741,4,1
27.426,51.697,4,1
27.596,51.605,4,1
27.667,51.440,4,1
27.699,51.253,4,1
27.838,51.050,4,1
28.109,51.007,4,1
28.472,51.012,4,1
28.702,51.057,4,1
28.989,51.119,4,1
29.122,51.241,4,1
29.201,51.434,4,1
29.253,51.585,4,1
29.213,51.804,4,1
29.173,52.034,4,1
29.257,52.268,4,1
29.384,52.415,4,1
29.616,52.532,4,1
29.950,52.602,4,1
30.233,52.585,4,1
30.554,52.575,4,1
30.832,52.928,4,0
30.915,54.110,4,0
30.946,54.990,4,0
30.980,56.143,4,0
30.984,57.048,4,0
31.081,57.767,4,0
29.170,57.975,4,0
27.091,58.128,4,0
24.848,58.281,4,0
22.916,58.496,4,0
20.749,58.766,4,0
19.145,59.071,4,0
17.445,59.385,4,0
17.455,57.722,4,0
17.638,55.993,4,0
24.958,64.736,5,1
