Contour,IDs
1,Barnard 168
2,Barnard 33
3,Barnard 42
4,Cederblad 122
5,Cederblad 19c
6,Cederblad 19e
7,Cederblad 19h
8,Cederblad 19o
9,Cederblad 19p
10,Cederblad 214
11,Cederblad 90
12,C 99; Coalsack
13,Gum 1
14,Gum 39
15,Gum 41
16,IC 1318; IC 1318A; IC 1318B
17,IC 1396
18,IC 1795
19,IC 1805
20,IC 1848
21,IC 1995
22,IC 2087
23,IC 2118
24,IC 2145
25,IC 2177
26,IC 2872
27,IC 2944; IC 2948
28,IC 348
29,IC 349
30,IC 353
31,IC 405
32,IC 405
33,IC 410
34,IC 417
35,IC 417
36,IC 431
37,IC 432
38,IC 434
39,IC 434
40,IC 443
41,IC 443
42,IC 4592
43,IC 4601
44,IC 4603
45,IC 4604
46,IC 4605
47,IC 4606
48,IC 4628
49,IC 4685
50,IC 5067; IC 5070
51,IC 5068
52,IC 5146
53,LDN 1088
54,LDN 1090
55,LDN 1095
56,LDN 1103
57,LDN 1106
58,LDN 1113
59,LDN 1448
60,LDN 1470
61,LDN 1471
62,LDN 1744
63,LDN 1752
64,LDN 42
65,LDN 880
66,LDN 889
67,LDN 91
68,LDN 935
69,LDN 99
70,M 16; IC 4703
71,M 17
72,M 17
73,M 20
74,M 42
75,M 42
76,M 43
77,M 45
78,M 8
79,M 8
80,M 8
81,M 8
82,NGC 1333
83,NGC 1432
84,NGC 1435
85,NGC 1499
86,NGC 1931
87,NGC 1931
88,NGC 1977; NGC 1975
89,NGC 1975
90,NGC 1977
91,NGC 1990
92,NGC 2023
93,NGC 2024
94,NGC 2070
95,NGC 2074
96,NGC 2237; NGC 2238; NGC 2239
97,NGC 2264
98,NGC 2264
99,NGC 2264
100,NGC 2327
101,NGC 281
102,NGC 3293
103,NGC 3324
104,NGC 3372
105,NGC 6188
106,NGC 6334
107,NGC 6357
108,NGC 6888
109,NGC 6914
110,NGC 6960
111,NGC 6974
112,NGC 6979
113,NGC 6992; NGC 6995; IC 1340
114,NGC 7000
115,NGC 7023
116,NGC 7023
117,NGC 7822
118,NGC 896
119,Sharpless 2-1
120,Sharpless 2-108
121,Sharpless 2-129
122,Sharpless 2-276
123,Sharpless 2-9
124,van den Bergh 142
125,van den Bergh 20
126,van den Bergh 23
127,van den Bergh 93
