name,asciiname,latitude,longitude,country code,admin1 code,population,elevation,timezone,admin1_name,daylight_saving,timezone_raw_offset
Ras Al Khaimah City,Ras Al Khaimah City,25.78953,55.9432,AE,05,351943,,Asia/Dubai,Imarat Ra's al Khaymah,0,4.0
Dubai,Dubai,25.07725,55.30927,AE,03,2956587,,Asia/Dubai,Dubai,0,4.0
Sharjah,Sharjah,25.33737,55.41206,AE,06,1324473,,Asia/Dubai,Sharjah,0,4.0
Ajman City,Ajman City,25.40177,55.47878,AE,02,490035,,Asia/Dubai,Ajman,0,4.0
Abu Dhabi,Abu Dhabi,24.45118,54.39696,AE,01,603492,,Asia/Dubai,Abu Dhabi,0,4.0
Musaffah,Musaffah,24.35893,54.48267,AE,01,243341,,Asia/Dubai,Abu Dhabi,0,4.0
Mazār-e Sharīf,Mazar-e Sharif,36.70904,67.11087,AF,30,303282,,Asia/Kabul,Balkh,0,4.5
Kunduz,Kunduz,36.72895,68.857,AF,24,161902,,Asia/Kabul,Kunduz,0,4.5
Kandahār,Kandahar,31.61332,65.71013,AF,23,391190,,Asia/Kabul,Kandahar,0,4.5
Kabul,Kabul,34.52813,69.17233,AF,13,3043532,,Asia/Kabul,Kabul,0,4.5
Jalālābād,Jalalabad,34.42647,70.45153,AF,18,200331,,Asia/Kabul,Nangarhar,0,4.5
Herāt,Herat,34.34817,62.19967,AF,11,272806,,Asia/Kabul,Herat,0,4.5
Ghazni,Ghazni,33.55391,68.42096,AF,08,141000,,Asia/Kabul,Ghazni,0,4.5
Gardez,Gardez,33.59744,69.22592,AF,36,103601,,Asia/Kabul,Paktia,0,4.5
Balkh,Balkh,36.75635,66.8972,AF,30,114883,,Asia/Kabul,Balkh,0,4.5
Baghlān,Baghlan,36.13068,68.70829,AF,03,108449,,Asia/Kabul,Baghlan,0,4.5
Elbasan,Elbasan,41.1125,20.08222,AL,43,100903,,Europe/Tirane,Elbasan,1,1.0
Tirana,Tirana,41.3275,19.81889,AL,50,374801,,Europe/Tirane,Tirana,1,1.0
Durrës,Durres,41.32355,19.45469,AL,42,122034,,Europe/Tirane,Durres,1,1.0
Yerevan,Yerevan,40.18111,44.51361,AM,11,1093485,,Asia/Yerevan,Yerevan,0,4.0
Vanadzor,Vanadzor,40.80456,44.4939,AM,06,101098,,Asia/Yerevan,Lori,0,4.0
Gyumri,Gyumri,40.7942,43.84528,AM,07,148381,,Asia/Yerevan,Shirak,0,4.0
N’dalatando,N'dalatando,-9.29782,14.91162,AO,05,383100,,Africa/Luanda,Cuanza Norte,0,1.0
Luanda,Luanda,-8.83682,13.23432,AO,20,2776168,,Africa/Luanda,Luanda,0,1.0
Lubango,Lubango,-14.91717,13.4925,AO,09,102541,,Africa/Luanda,Huila,0,1.0
Lobito,Lobito,-12.3644,13.53601,AO,01,207932,,Africa/Luanda,Benguela,0,1.0
Cuito,Cuito,-12.38333,16.93333,AO,02,113624,,Africa/Luanda,Bie,0,1.0
Huambo,Huambo,-12.77611,15.73917,AO,08,226145,,Africa/Luanda,Huambo,0,1.0
Benguela,Benguela,-12.57626,13.40547,AO,01,151226,,Africa/Luanda,Benguela,0,1.0
Villa Lugano,Villa Lugano,-34.67907,-58.47263,AR,07,114000,,America/Argentina/Buenos_Aires,Buenos Aires F.D.,0,-3.0
Tandil,Tandil,-37.32167,-59.13316,AR,01,104325,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Resistencia,Resistencia,-27.46056,-58.98389,AR,03,387158,,America/Argentina/Cordoba,Chaco,0,-3.0
Quilmes,Quilmes,-34.72904,-58.26374,AR,01,230000,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Posadas,Posadas,-27.36708,-55.89608,AR,14,323739,83,America/Argentina/Cordoba,Misiones,0,-3.0
Pilar,Pilar,-34.45866,-58.9142,AR,01,226517,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Morón,Moron,-34.6509,-58.61956,AR,01,319934,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Merlo,Merlo,-34.66627,-58.72927,AR,01,244168,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Mar del Plata,Mar del Plata,-38.00042,-57.5562,AR,01,553935,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
La Plata,La Plata,-34.92145,-57.95453,AR,01,694167,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Formosa,Formosa,-26.18489,-58.17313,AR,09,221383,,America/Argentina/Cordoba,Formosa,0,-3.0
Corrientes,Corrientes,-27.46784,-58.8344,AR,06,339067,,America/Argentina/Cordoba,Corrientes,0,-3.0
Concordia,Concordia,-31.39296,-58.02089,AR,08,145210,,America/Argentina/Cordoba,Entre Rios,0,-3.0
Buenos Aires,Buenos Aires,-34.61315,-58.37723,AR,07,13076300,,America/Argentina/Buenos_Aires,Buenos Aires F.D.,0,-3.0
Berazategui,Berazategui,-34.76531,-58.21278,AR,01,167498,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Belgrano,Belgrano,-34.5627,-58.45829,AR,07,138942,,America/Argentina/Buenos_Aires,Buenos Aires F.D.,0,-3.0
Santiago del Estero,Santiago del Estero,-27.79511,-64.26149,AR,22,354692,,America/Argentina/Cordoba,Santiago del Estero,0,-3.0
Santa Rosa,Santa Rosa,-36.61667,-64.28333,AR,11,111424,,America/Argentina/Salta,La Pampa,0,-3.0
Santa Fe,Santa Fe,-31.64881,-60.70868,AR,21,489505,,America/Argentina/Cordoba,Santa Fe,0,-3.0
San Salvador de Jujuy,San Salvador de Jujuy,-24.19457,-65.29712,AR,10,305891,,America/Argentina/Jujuy,Jujuy,0,-3.0
San Rafael,San Rafael,-34.61772,-68.33007,AR,13,109163,,America/Argentina/Mendoza,Mendoza,0,-3.0
San Nicolás de los Arroyos,San Nicolas de los Arroyos,-33.33425,-60.2108,AR,01,127742,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
San Miguel de Tucumán,San Miguel de Tucuman,-26.82414,-65.2226,AR,24,781023,,America/Argentina/Tucuman,Tucuman,0,-3.0
San Luis,San Luis,-33.29501,-66.33563,AR,19,183982,,America/Argentina/San_Luis,San Luis,0,-3.0
San Juan,San Juan,-31.5375,-68.53639,AR,18,447048,,America/Argentina/San_Juan,San Juan,0,-3.0
San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,02,188812,,America/Argentina/Catamarca,Catamarca,0,-3.0
Salta,Salta,-24.7859,-65.41166,AR,17,512686,,America/Argentina/Salta,Salta,0,-3.0
Rosario,Rosario,-32.94682,-60.63932,AR,21,1173533,,America/Argentina/Cordoba,Santa Fe,0,-3.0
Río Cuarto,Rio Cuarto,-33.13067,-64.34992,AR,05,153757,,America/Argentina/Cordoba,Cordoba,0,-3.0
Paraná,Parana,-31.73271,-60.52897,AR,08,262295,,America/Argentina/Cordoba,Entre Rios,0,-3.0
Neuquén,Neuquen,-38.95161,-68.0591,AR,15,242092,,America/Argentina/Salta,Neuquen,0,-3.0
Mendoza,Mendoza,-32.89084,-68.82717,AR,13,876884,,America/Argentina/Mendoza,Mendoza,0,-3.0
La Rioja,La Rioja,-29.41105,-66.85067,AR,12,162620,,America/Argentina/La_Rioja,La Rioja,0,-3.0
Córdoba,Cordoba,-31.4135,-64.18105,AR,05,1428214,,America/Argentina/Cordoba,Cordoba,0,-3.0
Comodoro Rivadavia,Comodoro Rivadavia,-45.86413,-67.49656,AR,04,140850,,America/Argentina/Rio_Gallegos,Chubut,0,-3.0
Bahía Blanca,Bahia Blanca,-38.71959,-62.27243,AR,01,276546,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Balvanera,Balvanera,-34.61032,-58.39766,AR,07,152198,,America/Argentina/Buenos_Aires,Buenos Aires F.D.,0,-3.0
San Miguel,San Miguel,-34.54335,-58.71229,AR,01,157532,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
José C. Paz,Jose C. Paz,-34.51541,-58.76813,AR,01,230208,,America/Argentina/Buenos_Aires,Buenos Aires,0,-3.0
Vienna,Vienna,48.20849,16.37208,AT,09,1691468,171,Europe/Vienna,Vienna,1,1.0
Simmering,Simmering,48.18333,16.43333,AT,09,101420,,Europe/Vienna,Vienna,1,1.0
Salzburg,Salzburg,47.79941,13.04399,AT,05,153377,424,Europe/Vienna,Salzburg,1,1.0
Ottakring,Ottakring,48.21667,16.3,AT,09,104627,,Europe/Vienna,Vienna,1,1.0
Linz,Linz,48.30639,14.28611,AT,04,204846,266,Europe/Vienna,Upper Austria,1,1.0
Innsbruck,Innsbruck,47.26266,11.39454,AT,07,132493,570,Europe/Vienna,Tyrol,1,1.0
Graz,Graz,47.06667,15.45,AT,06,222326,,Europe/Vienna,Styria,1,1.0
Floridsdorf,Floridsdorf,48.25,16.4,AT,09,162779,,Europe/Vienna,Vienna,1,1.0
Favoriten,Favoriten,48.16116,16.38233,AT,09,201882,,Europe/Vienna,Vienna,1,1.0
Donaustadt,Donaustadt,48.2333,16.46002,AT,09,187007,,Europe/Vienna,Vienna,1,1.0
Rockingham,Rockingham,-32.27682,115.72978,AU,08,108022,,Australia/Perth,Western Australia,0,8.0
Perth,Perth,-31.95224,115.8614,AU,08,1896548,,Australia/Perth,Western Australia,0,8.0
Darwin,Darwin,-12.46113,130.84185,AU,03,129062,,Australia/Darwin,Northern Territory,0,9.5
Adelaide,Adelaide,-34.92866,138.59863,AU,05,1225235,,Australia/Adelaide,South Australia,1,9.5
Townsville,Townsville,-19.26639,146.80569,AU,04,196219,,Australia/Brisbane,Queensland,0,10.0
Toowoomba,Toowoomba,-27.56056,151.95386,AU,04,131258,,Australia/Brisbane,Queensland,0,10.0
Sydney,Sydney,-33.86785,151.20732,AU,02,4627345,,Australia/Sydney,New South Wales,1,10.0
Newcastle,Newcastle,-32.92953,151.7801,AU,02,308308,,Australia/Sydney,New South Wales,1,10.0
Melbourne,Melbourne,-37.814,144.96332,AU,07,4246375,,Australia/Melbourne,Victoria,1,10.0
Launceston,Launceston,-41.43876,147.13467,AU,06,106153,,Australia/Hobart,Tasmania,1,10.0
Hobart,Hobart,-42.87936,147.32941,AU,06,216656,,Australia/Hobart,Tasmania,1,10.0
Gold Coast,Gold Coast,-28.00029,153.43088,AU,04,591473,,Australia/Brisbane,Queensland,0,10.0
Geelong,Geelong,-38.14711,144.36069,AU,07,226034,,Australia/Melbourne,Victoria,1,10.0
Wollongong,Wollongong,-34.424,150.89345,AU,02,292190,,Australia/Sydney,New South Wales,1,10.0
Canberra,Canberra,-35.28346,149.12807,AU,01,367752,,Australia/Sydney,Australian Capital Territory,1,10.0
Cairns,Cairns,-16.92366,145.76613,AU,04,153075,,Australia/Brisbane,Queensland,0,10.0
Brisbane,Brisbane,-27.46794,153.02809,AU,04,2189878,,Australia/Brisbane,Queensland,0,10.0
Bendigo,Bendigo,-36.75818,144.28024,AU,07,100617,,Australia/Melbourne,Victoria,1,10.0
Logan City,Logan City,-27.63917,153.10944,AU,04,282673,,Australia/Brisbane,Queensland,0,10.0
Lankaran,Lankaran,38.75428,48.85062,AZ,29,240300,,Asia/Baku,Lankaran,0,4.0
Yevlakh,Yevlakh,40.61832,47.15014,AZ,68,127400,,Asia/Baku,Yevlax City,0,4.0
Sumqayıt,Sumqayit,40.58972,49.66861,AZ,54,265150,,Asia/Baku,Sumqayit,0,4.0
Ganja,Ganja,40.68278,46.36056,AZ,20,313300,,Asia/Baku,Ganja City,0,4.0
Baku,Baku,40.37767,49.89201,AZ,09,1116513,,Asia/Baku,Baki,0,4.0
Zenica,Zenica,44.20169,17.90397,BA,01,164423,,Europe/Sarajevo,Federation of B&H,1,1.0
Tuzla,Tuzla,44.53842,18.66709,BA,01,142486,,Europe/Sarajevo,Federation of B&H,1,1.0
Sarajevo,Sarajevo,43.84864,18.35644,BA,01,696731,,Europe/Sarajevo,Federation of B&H,1,1.0
Mostar,Mostar,43.34333,17.80806,BA,01,104518,,Europe/Sarajevo,Federation of B&H,1,1.0
Banja Luka,Banja Luka,44.77842,17.19386,BA,02,221106,,Europe/Sarajevo,Srpska,1,1.0
Tungi,Tungi,23.89154,90.40232,BD,81,337579,,Asia/Dhaka,Dhaka,0,6.0
Sylhet,Sylhet,24.89904,91.87198,BD,86,237000,,Asia/Dhaka,Sylhet,0,6.0
Jamālpur,Jamalpur,24.91965,89.94812,BD,H,167900,,Asia/Dhaka,Mymensingh Division,0,6.0
Shibganj,Shibganj,25.00146,89.32266,BD,83,378701,,Asia/Dhaka,Rajshahi Division,0,6.0
Sātkhira,Satkhira,22.70817,89.07185,BD,82,128918,,Asia/Dhaka,Khulna,0,6.0
Sirajganj,Sirajganj,24.45771,89.70802,BD,83,127481,,Asia/Dhaka,Rajshahi Division,0,6.0
Narsingdi,Narsingdi,23.92298,90.71768,BD,81,281080,,Asia/Dhaka,Dhaka,0,6.0
Shāhzādpur,Shahzadpur,24.17687,89.5988,BD,83,102420,,Asia/Dhaka,Rajshahi Division,0,6.0
Rājshāhi,Rajshahi,24.374,88.60114,BD,83,700133,,Asia/Dhaka,Rajshahi Division,0,6.0
Nārāyanganj,Narayanganj,23.61352,90.50298,BD,81,223622,,Asia/Dhaka,Dhaka,0,6.0
Nāgarpur,Nagarpur,24.05783,89.87696,BD,81,238422,,Asia/Dhaka,Dhaka,0,6.0
Mymensingh,Mymensingh,24.75636,90.40646,BD,H,225126,,Asia/Dhaka,Mymensingh Division,0,6.0
Comilla,Comilla,23.46186,91.18503,BD,84,389411,,Asia/Dhaka,Chittagong,0,6.0
Rangpur,Rangpur,25.74664,89.25166,BD,87,343122,,Asia/Dhaka,Rangpur Division,0,6.0
Kushtia,Kushtia,23.9028,89.11943,BD,82,135724,,Asia/Dhaka,Khulna,0,6.0
Dhaka,Dhaka,23.7104,90.40744,BD,81,10356500,,Asia/Dhaka,Dhaka,0,6.0
