Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"8 Homeward","8 Homeward","Moon",12.52,-12.02,97.09,AA,"Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M.",
"Aachen","Aachen","Mathilde",4.8,9.2,299.1,AA,"German coal basin.",
"Aananin","Aananin","Rhea",0,34.9,20.1,AA,"Korean god of the Heavens.",
"Aaru","Aaru","Titan",0,10,20,AL,"Egyptian abode of the blessed dead.",
"Ababinili Patera","Ababinili Patera","Io",103.63,12.78,217.83,PE,"Chickasaw fire and sun god.",
"Abalos Colles","Abalos Colles","Mars",235.83,76.83,288.35,CO,"Named for classical albedo feature at 72N, 70W.",
"Abalos Mensa","Abalos Mensa","Mars",129.18,81.17,284.4,MN,"Classical albedo feature name.",
"Abalos Scopuli","Abalos Scopuli","Mars",109.16,80.72,283.44,SC,"Classical albedo feature name.",
"Abalos Undae","Abalos Undae","Mars",442.74,78.52,272.5,UN,"Classical albedo feature at 72N, 70W.",
"Aban","Aban","Mars",4.28,15.91,111.1,AA,"Town in Russia.",
"Abans","Abans","Ariel",20,-15.5,251.3,AA,"Spirit of the iron mines.",
"Abassi","Abassi","Rhea",87.2,-21.3,213.5,AA,"Efik (Ghana) creator god. ",
"Abatos Planum","Abatos Planum","Triton",0,-21.5,58,PM,"Egyptian sacred island in Nile, ""paradise.""",
"Abaya Lacus","Abaya Lacus","Titan",65,73.17,314.45,LC,"Lake in Ethiopia.",
"Abbe","Abbe","Moon",63.98,-57.58,174.77,AA,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbe H","Abbe H","Moon",25.13,-58.44,177.58,SF,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbe K","Abbe K","Moon",26.1,-59.82,176.86,SF,"Ernst Karl; German optician, physicist, astronomer (1840-1905).",
