"full_name",equinox,q,e,i,w,om,tp,epoch,M1,K1,diameter,GM,rot_per,albedo,BV,spec_T
"    1P/Halley",J2000,.5747157977675837,.9679427911270999,162.1878711908339,112.257792004868,59.11448293673941,2446470.148898345376,2439857.5,5.5,8.0,11.0,,,0.04,,
"    2P/Encke",J2000,.3359010016493109,.8483340795444061,11.77822631500098,186.5626939119594,334.5600533207959,2457822.592529909263,2457760.5,15.5,4.5,4.8,,11.083,0.046,,
"    3D/Biela",J2000,0.879073,0.751299,13.2164,221.6588,250.669,2390514.115200000000,2390520.5,7.1,10.0,,,,,,
"    4P/Faye",J2000,1.578038518065045,.5844825158570417,8.15995332203782,205.9925172698771,194.800053436924,2459463.191592664436,2458522.5,11.0,9.5,3.54,,,,,
"    5D/Brorsen",J2000,0.589847,0.809796,29.3821,14.9468,102.9676,2407439.534100000000,2407440.5,8.3,10.0,,,,,,
"    6P/d'Arrest",J2000,1.354585254479242,.6126701232429161,19.51243094515556,178.1064598500486,138.9371003258597,2459475.289294548276,2459302.5,15.9,8.5,3.2,,,,,
"    7P/Pons-Winnecke",J2000,1.239198689611528,.6375712425875647,22.33463826457564,172.5055336098141,93.41561018941695,2457053.027488080850,2457137.5,16.0,4.5,5.2,,,,,
"    8P/Tuttle",J2000,1.027263094466541,.8197876162331501,54.98196882510133,207.5115175085094,270.3421615706648,2454492.518015469346,2454701.5,14.6,4.5,4.5,,,,,
"    9P/Tempel 1",J2000,1.542530450367674,.5097303440148174,10.47332142324269,179.1945054082475,68.75570898836558,2457603.067384816299,2457450.5,12.9,9.,6.0,,40.7,0.05,,
"   10P/Tempel 2",J2000,1.42096625323928,.5363678215483253,12.0269587927191,195.5464023059675,117.8025213084035,2457341.679351027568,2456383.5,14.3,5.25,10.6,,8.93,0.022,,
"   11P/Tempel-Swift-LINEAR",J2000,1.389708453874585,.5774221353101371,14.43558222984413,167.7673739633523,238.9870236722805,2459179.514127292306,2458789.5,15.2,20.,,,,,,
"   12P/Pons-Brooks",J2000,.7809011883004989,.9545540967469978,74.19037259059591,198.9873405142014,255.8534006253324,2460421.634952599547,2460171.5,5.,15.0,,,,,,
"   13P/Olbers",J2000,1.161588506017397,.9303987875569842,44.66378874566762,64.29316701596852,86.36211955401271,2460487.788497474462,2456738.5,4.9,23.,,,,,,
"   14P/Wolf",J2000,2.728789922765338,.3574546761938718,27.94264107490945,159.1961569302005,202.1079740686509,2454890.107438160982,2455879.5,15.6,4.5,4.66,,9.02,,,
"   15P/Finlay",J2000,.9766869801847371,.7201854360262051,6.800480402996852,347.6257499655407,13.75387475192309,2457018.572638403660,2457327.5,14.9,8.5,,,,,,
"   16P/Brooks 2",J2000,1.454508132180911,.5689747294286532,4.30689945969963,220.1660459205524,159.3430174044605,2456823.268704640383,2457551.5,12.2,13.5,,,,,,
"   17P/Holmes",J2000,2.066329254703369,.4301548244810638,19.07035853006311,24.7385060050165,326.7738104542646,2456743.220303206744,2457680.5,9.4,14.75,3.42,,,,,
"   18D/Perrine-Mrkos",J2000,1.27224808138711,0.642580982439164,17.7589827722319,166.0504171249452,240.8755466309168,2440162.042133371453,2440240.5,11.5,20.0,,,,,,
"   19P/Borrelly",J2000,1.306011016490512,.6379196509967269,29.31940320796265,351.8606875545229,74.3024414777589,2459612.262261860076,2459275.5,9.8,14.75,4.8,,,0.022,,
"   20D/Westphal",J2000,1.2540127619273,0.919831188993609,40.8900610587027,57.08095497141959,348.0064469311446,2420098.290255874618,2420080.5,8.8,10.0,,,,,,
"   21P/Giacobini-Zinner",J2000,1.013493750730936,.7104667848114644,32.00303376160798,172.8091596458073,195.4051449504903,2458371.765469259133,2458063.5,13.1,8.5,2.0,,,,,
"   22P/Kopff",J2000,1.554767866979069,.5486148180004681,4.739858083276767,162.9124342356773,120.8356074667887,2459656.390183236897,2458538.5,11.9,9.75,3.0,,,0.05,,
"   23P/Brorsen-Metcalf",J2000,0.4787527107248574775866,0.9719522579248509597249,19.333940469818628571374,129.6106836788667,311.5854622141069,2447781.437433134682,2447800.5,7.8,8.0,,,,,,
"   24P/Schaumasse",J2000,1.20616902407146,.7048377385790582,11.73397999992298,58.00232148852397,79.66577775476655,2458074.260817116701,2457350.5,12.0,16.,2.6,,,,,
"   25D/Neujmin 2",J2000,1.33816964707983,0.566818596285863,10.6387130963875,193.7040335562024,328.7169509657245,2424896.724114143077,2424960.5,12.5,15.0,,,,,,
"   26P/Grigg-Skjellerup",J2000,1.11012318769777,.6344789294525668,22.42678131322772,1.615868694794049,211.6420242710713,2456482.618917916692,2455554.5,16.7,5.25,2.6,,,,,
"   27P/Crommelin",J2000,.7342100902931331,.9192598738413603,29.22111461111518,195.9554453537227,250.9593527477335,2455776.067845756339,2452489.5,12.7,27.75,,,,,,
"   28P/Neujmin 1",J2000,1.580917828565709,.7735624409855894,14.310272265755,347.46743090,346.3446527167947,2459285.258835249591,2460047.5,13.2,4.5,21.4,,,0.025,,
"   29P/Schwassmann-Wachmann 1",J2000,5.776533212251606,.04475336041950449,9.36406979103401,50.91331805745789,312.3941494996202,2458593.292167094456,2459945.5,10.1,4.5,60.4,,,0.033,,
"   30P/Reinmuth 1",J2000,1.877578768272068,.5022895867616366,8.130032578135209,13.18398134275862,119.7280059244499,2457984.295405106654,2456966.5,13.7,6.5,7.8,,,,,
"   31P/Schwassmann-Wachmann 2",J2000,3.424313358172445,.1929518908135903,4.546486710364198,17.93006801410605,114.1876326212957,2455468.957210659360,2455554.5,7.2,17.5,6.2,,,,,
"   32P/Comas Sola",J2000,2.000079324856739,.5557312235835146,9.95956511782278,53.2633190157181,57.77999725200828,2456947.017244735847,2458426.5,10.1,12.5,8.4,,,,,
"   33P/Daniel",J2000,2.166352466794279,.4624304295345443,22.38780954782329,18.90230805402269,66.53951021951877,2454667.971563221273,2455528.5,15.4,4.5,2.6,,,,,
"   34D/Gale",J2000,1.182907,0.760719,11.7281,209.1572,67.9235,2429067.9832,2429080.5,10.5,20.0,,,,,,
"   35P/Herschel-Rigollet",J2000,0.74849,0.97405,64.207,29.298,355.980,2429484.964,2429480.5,8.3,10,,,,,,
