1,"SL-1 R/B",RB,CIS,"Sputnik 1 was the first artificial satellite to be put into orbit, on October 4, 1957. Coming at the height of the Cold War, the launching of Sputnik caught the West by surprise, and in the U.S. led to a wave of self-recriminations, the beginning of the space race, and a movement to reform science education.",TTMTR,1957-10-04,1957-12-01
2,"SPUTNIK 1",,CIS,"The Sputnik 1 spacecraft was the first artificial satellite successfully placed in orbit around the Earth and was launched from Baikonur Cosmodrome at Tyuratam (370 km southwest of the small town of Baikonur) in Kazakhstan, then part of the former Soviet Union. The Russian word ""Sputnik"" means ""companion"" (""satellite"" in the astronomical sense).",TTMTR,1957-10-04,1958-01-03
3,"SPUTNIK 2",,CIS,,TTMTR,1957-11-03,1958-04-14
4,"EXPLORER 1",,US,"Explorer 1 was the first successfully launched U. S. spacecraft. Launched late on 31 January 1958 (10:48 p.m. EST, or 03:48 UTC on 01 February) on an adapted Jupiter-C rocket, Explorer 1 carried instrumentation for the study of cosmic rays, micrometeorites, and for monitoring of the satellite's temperature",AFETR,1958-02-01,1970-03-31
5,"VANGUARD 1",,US,"Vanguard 1 was a small earth-orbiting satellite designed to test the launch capabilities of a three-stage launch vehicle and the effects of the environment on a satellite and its systems in Earth orbit. It also was used to obtain geodetic measurements through orbit analysis.",AFETR,1958-03-17,0000-00-00
6,"EXPLORER 3",,US,,AFETR,1958-03-26,1958-06-28
7,"SL-1 R/B",RB,CIS,,TTMTR,1958-05-15,1958-12-03
8,"SPUTNIK 3",,CIS,,TTMTR,1958-05-15,1960-04-06
9,"EXPLORER 4",,US,,AFETR,1958-07-26,1959-10-23
10,SCORE,,US,,AFETR,1958-12-18,1959-01-21
11,"VANGUARD 2",,US,,AFETR,1959-02-17,0000-00-00
12,"VANGUARD R/B",RB,US,,AFETR,1959-02-17,0000-00-00
13,"DISCOVERER 1",,US,,AFWTR,1959-02-28,1959-03-03
14,"DISCOVERER 2",,US,,AFWTR,1959-04-13,1959-04-26
15,"EXPLORER 6",,US,,AFETR,1959-08-07,1961-06-30
16,"VANGUARD R/B",RB,US,,AFETR,1958-03-17,0000-00-00
17,"THOR ABLE R/B",RB,US,,AFETR,1959-08-07,1961-06-30
18,"DISCOVERER 5",,US,,AFWTR,1959-08-13,1959-09-28
19,"DISCOVERER 6",,US,,AFWTR,1959-08-19,1959-10-20
20,"VANGUARD 3",,US,,AFETR,1959-09-18,0000-00-00
21,"LUNA 3",,CIS,,TTMTR,1959-10-04,1960-04-20
22,"EXPLORER 7",,US,"EXPLORER 7 was designed to measure solar X-ray and Lyman-alpha flux, trapped energetic particles, and heavy primary cosmic rays (Z>5). Secondary objectives included collecting data on micrometeoroid penetration and molecular sputtering and studying the earth-atmosphere heat balance. The spin-stabilized satellite's external structure consisted of two truncated conical fiberglass shells joined by a cylindrical aluminum center section. The spacecraft was 75 cm wide at its equator and about 75 cm high. The spacecraft was powered by approximately 3000 solar cells mounted on both the upper and lower shells. Additional power was provided by 15 nickel-cadmium batteries that were positioned on its equator near the outer skin as an aid in maintaining a proper spin rate. Two crossed dipole (1 W, 20 MHz) telemetry antennas projected outward from the center section, and a 108-MHz antenna used for tracking was mounted on the bottom of the lower shell. Located around the periphery of the center section were five bolometers for thermal radiation measurements and three cadmium sulfide micrometeoroid detector cells. A cylindrical ion chamber (lithium flourid window) and a beryllium window X-ray chamber were located on opposite sides of the upper cone, and a cosmic-ray Geiger counter was located on the very top. A primary cosmic-ray ionization chamber was located within the center portion of the upper cone. Useful real-time data were transmitted from launch through February 1961 and intermittently until August 24, 1961.",AFETR,1959-10-13,0000-00-00
23,"JUNO II R/B",RB,US,,AFETR,1959-10-13,1989-07-16
24,"DISCOVERER 7",,US,,AFWTR,1959-11-07,1959-11-26
25,"DISCOVERER 8",,US,,AFWTR,1959-11-20,1960-03-08
26,"DISCOVERER 5 CAPSULE",,US,,AFWTR,1959-08-13,1961-02-11
27,"PIONEER 5",,US,,AFETR,1960-03-11,0000-00-00
28,"THOR ABLE R/B",RB,US,,AFETR,1960-04-01,1991-07-03
29,"TIROS 1",,US,"TIROS-1 (or TIROS-A) was the first successful low-Earth orbital weather satellite, and the first of a series of Television Infrared Observation Satellites. The TIROS Program was NASA's first experimental step to determine if satellites could be useful in the study of the Earth. At that time, the effectiveness of satellite observations was still unproven. Since satellites were a new technology, the TIROS Program also tested various design issues for spacecraft: instruments, data and operational parameters. The goal was to improve satellite applications for Earth-bound decisions, such as ""should we evacuate the coast because of the hurricane?"".",AFETR,1960-04-01,0000-00-00
30,"THOR ABLESTAR R/B",RB,US,,AFETR,1960-04-13,1961-08-18
31,"TRANSIT 1B",,US,,AFETR,1960-04-13,1967-10-05
32,"DISCOVERER 11",,US,,AFWTR,1960-04-15,1960-04-26
33,"THOR ABLESTAR DEB",DEB,US,,AFETR,1960-04-13,1960-07-17
34,"SPUTNIK 4",,CIS,,TTMTR,1960-05-15,1962-09-05
35,"SL-3 R/B",RB,CIS,,TTMTR,1960-05-15,1960-07-17
36,"SPUTNIK 4 CABIN",,CIS,,TTMTR,1960-05-15,1965-10-15
37,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1961-06-30
38,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1960-08-20
39,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1960-09-24
40,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1960-09-24
41,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1960-09-30
42,"SPUTNIK 4 DEB",DEB,CIS,,TTMTR,1960-05-15,1960-10-01
43,"MIDAS 2",,US,,AFETR,1960-05-24,1974-02-07
44,"MIDAS 2 DEB",DEB,US,,AFETR,1960-05-24,1960-12-05
45,"TRANSIT 2A",,US,,AFETR,1960-06-22,0000-00-00
46,"SOLRAD 1 (GREB)",,US,,AFETR,1960-06-22,0000-00-00
47,"THOR ABLESTAR R/B",RB,US,,AFETR,1960-06-22,0000-00-00
48,"DISCOVERER 13",,US,,AFETR,1960-08-10,1960-11-14
49,"ECHO 1",,US,,AFETR,1960-08-12,1968-05-24
50,"DELTA 1 R/B",RB,US,,AFETR,1960-08-12,0000-00-00
51,"ECHO 1 DEB (METAL OBJ)",DEB,US,,AFETR,1960-08-12,0000-00-00
52,"ECHO 1 DEB (MYLAR OBJ)",DEB,US,,AFETR,1960-08-12,0000-00-00
53,"ECHO 1 DEB (METAL OBJ)",DEB,US,,AFETR,1960-08-12,0000-00-00
54,"DISCOVERER 14",,US,,AFWTR,1960-08-18,1960-09-16
55,"SPUTNIK 5",,CIS,,TTMTR,1960-08-19,1960-08-20
56,"SL-3 R/B",RB,CIS,,TTMTR,1960-08-19,1960-09-23
57,"DISCOVERER 15",,US,,AFWTR,1960-09-13,1960-10-18
58,"COURIER 1B",,US,,AFETR,1960-10-04,0000-00-00
59,"THOR ABLESTAR R/B",RB,US,,AFETR,1960-10-04,0000-00-00
60,"EXPLORER 8",,US,,AFETR,1960-11-03,2012-03-28
61,"DISCOVERER 17",,US,,AFWTR,1960-11-12,1960-12-29
