Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Spec,Comp,Delta,Sep,PA,Year,T,a,e,i,w,n,P,Vtype,Vmin,Vmax,Vper,Vepoch,IDs,Names
DS,01 56 09.36,+37 15 06.6,+0.01535,+0.0116,+5.69,+6.75,1.004E+02,+61.6,K0III,A,+0.40,199.7,297.0,1984.00,,,,,,,,,,,,,56 And;HR 557;HD 11749;SAO 55107;BD +36 355;WDS 01562+3715;HIP 9021;TYC 2319-1796-1;GAIA 342474339928013056,
DS,02 03 53.95,+42 19 47.0,+0.00389,-0.0509,+2.17,+3.57,1.088E+02,-11.5,K3-IIb,A,+2.58,9.6,63.0,1987.00,,,,,,,,,,,,,gamma1 And;57 And;HR 603;HD 12533;SAO 37734;BD +41 395;WDS 02039+4220;HIP 9640;TYC 2837-2311-1,Almach
DS,22 28 49.91,-00 01 11.9,+0.01275,+0.0375,+4.10,+4.56,3.172E+01,+24.1,F3V,AB,+0.06,2.3,157.8,2020.00,1987.2871,3.1784,0.3001,141.98,284.87,137.98,426.651700,,,,,,zeta2 Aqr;55 Aqr;HR 8559;HD 213052;SAO 146108;BD -00 4365;WDS 22288-0001;HIP 110960;TYC 5226-1605-1,
DS,23 19 06.67,-13 27 30.8,+0.01821,-0.0449,+5.20,+5.99,2.074E+01,+10.3,G5IV,Aa,+2.36,12.6,351.0,1984.00,,,,,,,,,,,,,94 Aqr;HR 8866;GJ 894.2A;HD 219834;SAO 165625;BD -14 6448;WDS 23191-1328;HIP 115126;TYC 5827-1271-1,
DS,19 04 57.67,-04 01 53.1,+0.00154,-0.0266,+5.40,+6.52,9.641E+01,-23.9,K1III,A,+1.80,38.8,209.0,1976.00,,,,,,,,,,,,,h Aql;15 Aql;HR 7225;HD 177463;SAO 142996;BD -04 4684;WDS 19050-0402;HIP 93717;TYC 5136-0044-1;GAIA 4260690192802784384,
DS,19 54 37.65,-08 13 38.2,+0.00053,-0.0259,+5.69,+5.61,1.380E+02,-6.0,B7Vn,A,+0.78,36.0,170.0,1968.00,,,,,,,,,,,,,57 Aql;HR 7593;HD 188293;SAO 143898;BD -08 5154;WDS 19546-0814;HIP 97966;TYC 5725-3091-1;GAIA 4195366939990617728,
DV,01 53 31.81,+19 17 37.9,+0.00545,-0.0973,+3.88,+3.83,5.095E+01,-0.6,A2:VpSiHgMn,A,+0.00,7.5,0.0,1988.00,,,,,,,,ACV,+4.62,+4.66,2.61,,gamma2 Ari;5 Ari;HR 546;HD 11502;SAO 92681;BD +18 243;WDS 01535+1918;HIP 8832;TYC 1209-1833-1;GAIA 93806419367308544,Mesarthim
DS,01 57 55.72,+23 35 45.8,-0.00671,-0.0132,+4.77,+5.07,4.036E+01,-3.1,F0V,A,,38.5,47.0,1972.00,,,,,,,,,,,,,lambda Ari;9 Ari;HR 569;HD 11973;SAO 75051;BD +22 288;WDS 01579+2336;HIP 9153;TYC 1757-1964-1;GAIA 104716907609412352,
DV,05 59 43.27,+37 12 45.3,+0.00352,-0.0736,+2.65,+2.57,5.311E+01,+29.3,A0VpSi,AB,+4.60,4.1,303.5,2020.00,1784.6680,3.6754,0.7131,117.06,301.06,86.36,471.635800,ACV,+2.62,+2.70,3.62,,theta Aur;37 Aur;HR 2095;HD 40312;SAO 58636;BD +37 1380;WDS 05597+3713;HIP 28380;TYC 2418-1573-1,Mahasim
DV,14 13 29.01,+51 47 23.9,+0.00667,-0.0096,+4.52,+4.73,4.962E+01,-17.4,A8IV,AB,+2.07,13.7,235.5,2020.00,2902.0196,30.2404,0.6865,93.27,242.04,51.24,10141.554700,DSCTC,+4.50,+4.58,0.06,,kappa2 Boo;17 Boo;HR 5329;HD 124675;SAO 29046;BD +52 1782;WDS 14135+5147;HIP 69483;TYC 3471-1250-1;GAIA 1511793067598402944,
DS,14 40 43.57,+16 25 06.0,+0.00097,+0.0156,+4.86,+4.77,9.675E+01,+2.3,B9III-HgMn,A,+0.88,5.6,109.0,1988.00,,,,,,,,,,,,,pi1 Boo;29 Boo;HR 5475;HD 129174;SAO 101138;BD +17 2768;WDS 14407+1625;HIP 71762;TYC 1477-1336-1;GAIA 1234645287617291520,
DS,14 41 08.90,+13 43 42.3,+0.00417,-0.0240,+3.78,+3.82,5.388E+01,-5.5,A2III,BA,+0.04,0.2,280.2,2020.00,1898.5809,0.8250,0.9800,126.00,61.80,176.50,125.240000,,,,,,zeta Boo;30 Boo;HR 5477;HD 129246;SAO 101145;BD +14 2770;WDS 14411+1344;HIP 71795;TYC 0917-1471-1;GAIA 1185648953539868800,
DS,14 44 59.22,+27 04 27.2,-0.00380,+0.0210,+2.50,+3.63,7.232E+01,-17.0,K0-II-III,A,+2.40,2.6,343.0,1988.00,,,,,,,,,,,,,epsilon Boo;36 Boo;HR 5506;HD 129989;SAO 83500;BD +27 2417;WDS 14450+2704;HIP 72105;TYC 2019-1250-1;GAIA 1279798794197267072,Izar
